post_id,user_id,text,author_gender,author_partisanship,author_ideology,author_race,author_age,author_education,author_income,author_marital_status,author_religiosity,selected,prompt_style,trial_id,sentiment_polarity,sentiment_subjectivity,primary_topic,polarization_score,toxicity
post_00128,user_00064,Reading about healthcare costs this morning — highly recommend.,female,Democrat,moderate,White,35-44,college,<25k,single,not religious,0,general,0,0.8535,0.5811,learning_&_educational,0.842,0.2024
post_00063,user_00032,What's everyone's take on media bias? I'm genuinely curious.,male,Republican,moderate,Black,45-54,college,<25k,married,somewhat religious,0,general,0,0.2877,0.1998,food_&_dining,0.0556,0.2444
post_00123,user_00062,Excited to share my thoughts on labor rights with everyone.,male,Democrat,conservative,Asian,55-64,college,25k-50k,single,somewhat religious,0,general,0,0.6455,0.8041,business_&_entrepreneurs,0.2806,0.2708
post_00050,user_00025,Reading about tax policy this morning — highly recommend.,female,Independent,conservative,White,25-34,high school,100k+,single,not religious,0,general,0,-0.1132,0.7154,travel_&_adventure,0.3341,0.2363
post_00158,user_00079,Excited to share my thoughts on student debt with everyone.,female,Republican,moderate,Other,45-54,college,100k+,single,not religious,0,general,0,-0.5455,0.739,gaming,0.173,0.0556
post_00196,user_00098,New report on election integrity just dropped. The findings are surprising.,male,Independent,moderate,White,45-54,college,100k+,married,not religious,1,general,0,0.1092,0.1311,news_&_social_concern,0.3139,0.1687
post_00153,user_00077,Had a great conversation today about immigration reform. So much nuance.,male,Independent,moderate,White,45-54,college,<25k,married,religious,0,general,0,-0.8724,0.1238,arts_&_culture,0.7427,0.0306
post_00011,user_00006,Excited to share my thoughts on housing affordability with everyone.,female,Democrat,moderate,White,25-34,high school,75k-100k,divorced,not religious,0,general,0,0.6553,0.9276,fitness_&_health,0.0147,0.1959
post_00185,user_00093,Quick update on media bias: things are moving fast.,male,Republican,moderate,Black,18-24,postgraduate,50k-75k,married,not religious,0,general,0,0.2633,0.3976,other,0.8272,0.2866
post_00107,user_00054,Excited to share my thoughts on student debt with everyone.,female,Independent,very conservative,Other,45-54,college,100k+,married,very religious,0,general,0,0.5162,0.3009,news_&_social_concern,0.8565,0.1538
post_00038,user_00019,Long thread incoming on election integrity — stay tuned.,female,Democrat,conservative,White,25-34,college,25k-50k,married,religious,0,general,0,-0.2909,0.4886,fitness_&_health,0.3723,0.1299
post_00058,user_00029,Quick update on foreign policy: things are moving fast.,female,Democrat,liberal,Asian,45-54,college,<25k,married,religious,1,general,0,0.9414,0.6629,sports,0.1536,0.0108
post_00016,user_00008,Why does no one talk about infrastructure enough? It really matters.,female,Republican,liberal,White,25-34,college,75k-100k,single,religious,1,general,0,0.7862,0.9556,fitness_&_health,0.6008,0.2879
post_00067,user_00034,Long thread incoming on healthcare costs — stay tuned.,female,Democrat,conservative,Hispanic,18-24,college,50k-75k,divorced,religious,0,general,0,0.5568,0.2864,fitness_&_health,0.1197,0.0309
post_00142,user_00071,Excited to share my thoughts on media bias with everyone.,male,Democrat,liberal,White,18-24,college,50k-75k,single,religious,0,general,0,-0.6107,0.9248,arts_&_culture,0.3649,0.0123
post_00109,user_00055,Excited to share my thoughts on infrastructure with everyone.,male,Democrat,very liberal,White,35-44,college,75k-100k,divorced,not religious,0,general,0,-0.0666,0.0249,food_&_dining,0.9584,0.0738
post_00173,user_00087,Just saw the news about healthcare costs. Interesting times ahead.,female,Democrat,very conservative,White,35-44,postgraduate,25k-50k,married,not religious,1,general,0,-0.9124,0.5552,learning_&_educational,0.9955,0.0197
post_00127,user_00064,Had a great conversation today about tech regulation. So much nuance.,female,Democrat,moderate,White,35-44,college,<25k,single,not religious,1,general,0,-0.6914,0.634,gaming,0.7721,0.1365
post_00155,user_00078,Long thread incoming on labor rights — stay tuned.,female,Democrat,conservative,Hispanic,18-24,high school,100k+,single,religious,0,general,0,0.3661,0.1059,news_&_social_concern,0.311,0.1548
post_00183,user_00092,Long thread incoming on mental health — stay tuned.,male,Independent,very liberal,White,18-24,high school,50k-75k,single,religious,0,general,0,0.4895,0.1403,science_&_technology,0.6877,0.0938
post_00192,user_00096,Quick update on tax policy: things are moving fast.,male,Other,liberal,Hispanic,65+,high school,50k-75k,divorced,not religious,0,general,0,0.935,0.4191,science_&_technology,0.7054,0.0153
post_00108,user_00054,Unpopular opinion: tech regulation deserves way more attention.,female,Independent,very conservative,Other,45-54,college,100k+,married,very religious,0,general,0,-0.3483,0.9662,celebrity_&_pop_culture,0.3878,0.0335
post_00099,user_00050,Unpopular opinion: climate policy deserves way more attention.,male,Democrat,moderate,White,35-44,postgraduate,<25k,single,somewhat religious,1,general,0,-0.2591,0.596,sports,0.6409,0.1154
post_00039,user_00020,Unpopular opinion: labor rights deserves way more attention.,male,Democrat,conservative,White,65+,high school,<25k,single,somewhat religious,0,general,0,-0.0609,0.933,gaming,0.0107,0.0182
post_00040,user_00020,Reading about student debt this morning — highly recommend.,male,Democrat,conservative,White,65+,high school,<25k,single,somewhat religious,0,general,0,-0.6211,0.8044,travel_&_adventure,0.2091,0.2095
post_00029,user_00015,Hot take: healthcare costs is more complicated than people think.,female,Republican,liberal,White,35-44,college,75k-100k,single,somewhat religious,1,general,0,-0.7402,0.4674,gaming,0.5251,0.0621
post_00081,user_00041,Hot take: social media is more complicated than people think.,male,Independent,conservative,White,65+,college,75k-100k,single,very religious,0,general,0,-0.0486,0.7848,sports,0.1638,0.0906
post_00034,user_00017,Hot take: tech regulation is more complicated than people think.,female,Republican,conservative,White,18-24,postgraduate,50k-75k,single,somewhat religious,0,general,0,-0.5462,0.0178,news_&_social_concern,0.1659,0.1182
post_00166,user_00083,Reading about media bias this morning — highly recommend.,male,Independent,very liberal,White,55-64,high school,25k-50k,single,not religious,0,general,0,0.3396,0.1091,learning_&_educational,0.8363,0.125
post_00133,user_00067,Just saw the news about tech regulation. Interesting times ahead.,female,Republican,moderate,Black,45-54,high school,75k-100k,single,somewhat religious,0,general,0,-0.1257,0.8294,business_&_entrepreneurs,0.9891,0.0005
post_00168,user_00084,Can we talk about election integrity? There's so much to unpack here.,female,Independent,conservative,White,25-34,high school,50k-75k,single,very religious,0,general,0,0.6654,0.7968,fitness_&_health,0.556,0.0336
post_00025,user_00013,"Reminder that tax policy affects everyone, not just a few.",female,Independent,liberal,White,55-64,college,25k-50k,married,religious,0,general,0,0.4005,0.2326,learning_&_educational,0.8391,0.2588
post_00126,user_00063,What's everyone's take on labor rights? I'm genuinely curious.,male,Republican,conservative,White,18-24,college,25k-50k,married,very religious,0,general,0,-0.3753,0.5308,news_&_social_concern,0.9903,0.0004
post_00132,user_00066,Can we talk about infrastructure? There's so much to unpack here.,male,Republican,liberal,White,65+,college,50k-75k,married,somewhat religious,0,general,0,0.6645,0.606,news_&_social_concern,0.1416,0.1525
post_00172,user_00086,"Reminder that labor rights affects everyone, not just a few.",male,Independent,very liberal,Hispanic,55-64,high school,25k-50k,married,religious,1,general,0,0.6095,0.8677,news_&_social_concern,0.4482,0.1469
post_00120,user_00060,New report on renewable energy just dropped. The findings are surprising.,female,Democrat,moderate,White,35-44,postgraduate,50k-75k,married,not religious,1,general,0,-0.225,0.6031,sports,0.3926,0.0999
post_00111,user_00056,Can we talk about foreign policy? There's so much to unpack here.,male,Independent,moderate,White,65+,high school,100k+,married,religious,0,general,0,-0.4233,0.4126,news_&_social_concern,0.08,0.1294
post_00137,user_00069,Can we talk about social media? There's so much to unpack here.,female,Independent,very conservative,Black,55-64,high school,75k-100k,married,not religious,1,general,0,0.365,0.3742,gaming,0.7553,0.2342
post_00174,user_00087,Quick update on tax policy: things are moving fast.,female,Democrat,very conservative,White,35-44,postgraduate,25k-50k,married,not religious,0,general,0,-0.7205,0.4259,fitness_&_health,0.4338,0.2524
post_00128,user_00064,Reading about healthcare costs this morning — highly recommend.,female,Democrat,moderate,White,35-44,college,<25k,single,not religious,0,general,1,0.8535,0.5811,learning_&_educational,0.842,0.2024
post_00134,user_00067,The tech regulation situation has been on my mind a lot lately.,female,Republican,moderate,Black,45-54,high school,75k-100k,single,somewhat religious,1,general,1,-0.6002,0.6519,other,0.4693,0.0781
post_00101,user_00051,Excited to share my thoughts on housing affordability with everyone.,other,Republican,very liberal,White,18-24,high school,<25k,married,somewhat religious,0,general,1,-0.9853,0.8675,gaming,0.1507,0.0967
post_00117,user_00059,Hot take: student debt is more complicated than people think.,male,Republican,liberal,White,65+,college,100k+,single,religious,0,general,1,0.5738,0.4539,other,0.1809,0.0727
post_00158,user_00079,Excited to share my thoughts on student debt with everyone.,female,Republican,moderate,Other,45-54,college,100k+,single,not religious,0,general,1,-0.5455,0.739,gaming,0.173,0.0556
post_00151,user_00076,Hot take: election integrity is more complicated than people think.,female,Republican,liberal,Asian,45-54,high school,75k-100k,married,somewhat religious,0,general,1,0.3297,0.2478,science_&_technology,0.9071,0.144
post_00109,user_00055,Excited to share my thoughts on infrastructure with everyone.,male,Democrat,very liberal,White,35-44,college,75k-100k,divorced,not religious,0,general,1,-0.0666,0.0249,food_&_dining,0.9584,0.0738
post_00017,user_00009,Why does no one talk about housing affordability enough? It really matters.,male,Democrat,liberal,White,55-64,college,25k-50k,married,not religious,0,general,1,0.5223,0.1318,family,0.3145,0.2376
post_00058,user_00029,Quick update on foreign policy: things are moving fast.,female,Democrat,liberal,Asian,45-54,college,<25k,married,religious,0,general,1,0.9414,0.6629,sports,0.1536,0.0108
post_00079,user_00040,The social media situation has been on my mind a lot lately.,male,Independent,conservative,Hispanic,35-44,high school,75k-100k,divorced,very religious,0,general,1,0.4103,0.2367,business_&_entrepreneurs,0.0446,0.205
post_00137,user_00069,Can we talk about social media? There's so much to unpack here.,female,Independent,very conservative,Black,55-64,high school,75k-100k,married,not religious,0,general,1,0.365,0.3742,gaming,0.7553,0.2342
post_00013,user_00007,Can we talk about renewable energy? There's so much to unpack here.,male,Democrat,conservative,Asian,35-44,postgraduate,75k-100k,widowed,somewhat religious,1,general,1,0.5615,0.746,gaming,0.2329,0.0685
post_00090,user_00045,Reading about gun safety this morning — highly recommend.,male,Democrat,very conservative,Hispanic,65+,college,25k-50k,married,religious,0,general,1,-0.0822,0.8166,science_&_technology,0.2921,0.0992
post_00126,user_00063,What's everyone's take on labor rights? I'm genuinely curious.,male,Republican,conservative,White,18-24,college,25k-50k,married,very religious,0,general,1,-0.3753,0.5308,news_&_social_concern,0.9903,0.0004
post_00129,user_00065,Unpopular opinion: social media deserves way more attention.,female,Republican,liberal,White,25-34,college,25k-50k,married,very religious,0,general,1,0.1375,0.1053,news_&_social_concern,0.4902,0.2791
post_00169,user_00085,Long thread incoming on mental health — stay tuned.,non-binary,Republican,very liberal,Asian,35-44,college,50k-75k,single,very religious,0,general,1,-0.7204,0.0666,food_&_dining,0.5864,0.0146
post_00065,user_00033,Unpopular opinion: renewable energy deserves way more attention.,female,Republican,moderate,White,35-44,postgraduate,75k-100k,single,somewhat religious,0,general,1,-0.7709,0.5944,gaming,0.4933,0.1382
post_00062,user_00031,Reading about housing affordability this morning — highly recommend.,male,Democrat,very liberal,White,65+,college,100k+,single,not religious,1,general,1,0.3368,0.1462,other,0.0841,0.2135
post_00045,user_00023,Excited to share my thoughts on foreign policy with everyone.,male,Democrat,very liberal,White,55-64,high school,50k-75k,single,very religious,0,general,1,-0.0578,0.8247,learning_&_educational,0.2437,0.0451
post_00194,user_00097,New report on housing affordability just dropped. The findings are surprising.,female,Republican,liberal,White,65+,college,25k-50k,married,somewhat religious,0,general,1,0.1305,0.3103,arts_&_culture,0.8436,0.0142
post_00170,user_00085,Long thread incoming on media bias — stay tuned.,non-binary,Republican,very liberal,Asian,35-44,college,50k-75k,single,very religious,0,general,1,0.53,0.1439,travel_&_adventure,0.6376,0.0415
post_00071,user_00036,Had a great conversation today about climate policy. So much nuance.,male,Democrat,very conservative,White,25-34,college,25k-50k,married,religious,0,general,1,-0.1222,0.9718,business_&_entrepreneurs,0.8864,0.0967
post_00068,user_00034,Quick update on gun safety: things are moving fast.,female,Democrat,conservative,Hispanic,18-24,college,50k-75k,divorced,religious,0,general,1,0.2694,0.921,gaming,0.6491,0.2756
post_00056,user_00028,The housing affordability situation has been on my mind a lot lately.,male,Independent,moderate,White,25-34,high school,75k-100k,single,not religious,0,general,1,0.1072,0.1655,food_&_dining,0.6702,0.0028
post_00184,user_00092,What's everyone's take on tech regulation? I'm genuinely curious.,male,Independent,very liberal,White,18-24,high school,50k-75k,single,religious,0,general,1,0.1184,0.2847,gaming,0.7629,0.0565
post_00132,user_00066,Can we talk about infrastructure? There's so much to unpack here.,male,Republican,liberal,White,65+,college,50k-75k,married,somewhat religious,1,general,1,0.6645,0.606,news_&_social_concern,0.1416,0.1525
post_00047,user_00024,Excited to share my thoughts on immigration reform with everyone.,non-binary,Republican,conservative,White,25-34,college,50k-75k,married,not religious,0,general,1,-0.3921,0.1536,gaming,0.0581,0.0094
post_00076,user_00038,Hot take: gun safety is more complicated than people think.,female,Independent,liberal,Hispanic,55-64,college,100k+,married,somewhat religious,1,general,1,-0.9384,0.1155,celebrity_&_pop_culture,0.3666,0.0332
post_00029,user_00015,Hot take: healthcare costs is more complicated than people think.,female,Republican,liberal,White,35-44,college,75k-100k,single,somewhat religious,0,general,1,-0.7402,0.4674,gaming,0.5251,0.0621
post_00087,user_00044,Can we talk about labor rights? There's so much to unpack here.,male,Republican,moderate,Asian,35-44,college,50k-75k,single,not religious,0,general,1,-0.1266,0.0211,news_&_social_concern,0.5395,0.186
post_00077,user_00039,"Reminder that tax policy affects everyone, not just a few.",female,Other,moderate,White,55-64,high school,50k-75k,widowed,religious,0,general,1,-0.5708,0.0554,celebrity_&_pop_culture,0.3385,0.0725
post_00177,user_00089,New report on mental health just dropped. The findings are surprising.,male,Democrat,liberal,White,55-64,college,25k-50k,single,somewhat religious,0,general,1,-0.1829,0.1746,science_&_technology,0.8445,0.1708
post_00103,user_00052,"Reminder that tech regulation affects everyone, not just a few.",male,Republican,very conservative,White,55-64,high school,25k-50k,married,somewhat religious,0,general,1,0.7068,0.0534,arts_&_culture,0.4826,0.1771
post_00084,user_00042,"Reminder that renewable energy affects everyone, not just a few.",male,Independent,liberal,Hispanic,35-44,postgraduate,25k-50k,single,somewhat religious,0,general,1,-0.2584,0.6943,news_&_social_concern,0.0721,0.2984
post_00014,user_00007,New report on immigration reform just dropped. The findings are surprising.,male,Democrat,conservative,Asian,35-44,postgraduate,75k-100k,widowed,somewhat religious,0,general,1,-0.5321,0.5911,arts_&_culture,0.7686,0.2548
post_00116,user_00058,"Reminder that tax policy affects everyone, not just a few.",female,Independent,conservative,White,35-44,high school,100k+,married,somewhat religious,1,general,1,-0.8834,0.6807,food_&_dining,0.852,0.0014
post_00163,user_00082,Can we talk about student debt? There's so much to unpack here.,male,Republican,conservative,White,25-34,college,75k-100k,single,somewhat religious,1,general,1,-0.4372,0.3936,diaries_&_daily_life,0.5048,0.256
post_00020,user_00010,Hot take: media bias is more complicated than people think.,female,Republican,liberal,White,35-44,college,75k-100k,single,religious,1,general,1,-0.4128,0.318,family,0.9096,0.1857
post_00171,user_00086,Why does no one talk about climate policy enough? It really matters.,male,Independent,very liberal,Hispanic,55-64,high school,25k-50k,married,religious,0,general,1,0.3238,0.5045,travel_&_adventure,0.5871,0.0488
post_00181,user_00091,Had a great conversation today about healthcare costs. So much nuance.,female,Republican,conservative,Other,55-64,college,50k-75k,married,somewhat religious,0,general,1,0.1141,0.875,family,0.8503,0.2319
post_00173,user_00087,Just saw the news about healthcare costs. Interesting times ahead.,female,Democrat,very conservative,White,35-44,postgraduate,25k-50k,married,not religious,0,general,1,-0.9124,0.5552,learning_&_educational,0.9955,0.0197
post_00143,user_00072,What's everyone's take on education funding? I'm genuinely curious.,female,Democrat,conservative,Other,25-34,postgraduate,100k+,married,somewhat religious,0,general,1,0.5678,0.8511,fitness_&_health,0.3406,0.2566
post_00167,user_00084,The tax policy situation has been on my mind a lot lately.,female,Independent,conservative,White,25-34,high school,50k-75k,single,very religious,0,general,1,0.3286,0.0435,arts_&_culture,0.4988,0.0763
post_00156,user_00078,Long thread incoming on election integrity — stay tuned.,female,Democrat,conservative,Hispanic,18-24,high school,100k+,single,religious,0,general,1,-0.1872,0.1815,gaming,0.5314,0.2756
post_00139,user_00070,Today I'm thinking about tax policy and what it means for all of us.,male,Democrat,moderate,White,35-44,high school,50k-75k,single,somewhat religious,1,general,1,0.628,0.2367,celebrity_&_pop_culture,0.105,0.1363
post_00193,user_00097,Why does no one talk about social media enough? It really matters.,female,Republican,liberal,White,65+,college,25k-50k,married,somewhat religious,0,general,1,-0.6661,0.2494,sports,0.3986,0.181
post_00049,user_00025,Just saw the news about gun safety. Interesting times ahead.,female,Independent,conservative,White,25-34,high school,100k+,single,not religious,0,general,1,-0.9546,0.5712,gaming,0.9173,0.2954
post_00052,user_00026,Why does no one talk about media bias enough? It really matters.,female,Other,conservative,White,35-44,postgraduate,75k-100k,married,very religious,1,general,1,-0.8199,0.4163,travel_&_adventure,0.6308,0.1085
post_00161,user_00081,Reading about media bias this morning — highly recommend.,female,Other,very conservative,Hispanic,65+,college,75k-100k,married,not religious,0,general,1,0.4447,0.0493,news_&_social_concern,0.1775,0.2439
post_00067,user_00034,Long thread incoming on healthcare costs — stay tuned.,female,Democrat,conservative,Hispanic,18-24,college,50k-75k,divorced,religious,0,general,1,0.5568,0.2864,fitness_&_health,0.1197,0.0309
post_00077,user_00039,"Reminder that tax policy affects everyone, not just a few.",female,Other,moderate,White,55-64,high school,50k-75k,widowed,religious,0,general,2,-0.5708,0.0554,celebrity_&_pop_culture,0.3385,0.0725
post_00088,user_00044,"Reminder that infrastructure affects everyone, not just a few.",male,Republican,moderate,Asian,35-44,college,50k-75k,single,not religious,0,general,2,-0.0762,0.3736,sports,0.3389,0.0955
post_00050,user_00025,Reading about tax policy this morning — highly recommend.,female,Independent,conservative,White,25-34,high school,100k+,single,not religious,0,general,2,-0.1132,0.7154,travel_&_adventure,0.3341,0.2363
post_00015,user_00008,Excited to share my thoughts on tax policy with everyone.,female,Republican,liberal,White,25-34,college,75k-100k,single,religious,0,general,2,-0.6775,0.5238,news_&_social_concern,0.1916,0.2398
post_00143,user_00072,What's everyone's take on education funding? I'm genuinely curious.,female,Democrat,conservative,Other,25-34,postgraduate,100k+,married,somewhat religious,0,general,2,0.5678,0.8511,fitness_&_health,0.3406,0.2566
post_00010,user_00005,Why does no one talk about media bias enough? It really matters.,female,Republican,moderate,White,35-44,college,75k-100k,married,somewhat religious,0,general,2,0.0021,0.1017,business_&_entrepreneurs,0.0248,0.1802
post_00157,user_00079,Quick update on tech regulation: things are moving fast.,female,Republican,moderate,Other,45-54,college,100k+,single,not religious,0,general,2,-0.6954,0.8335,arts_&_culture,0.9275,0.0649
post_00026,user_00013,Can we talk about climate policy? There's so much to unpack here.,female,Independent,liberal,White,55-64,college,25k-50k,married,religious,0,general,2,0.3926,0.052,food_&_dining,0.4482,0.1242
post_00116,user_00058,"Reminder that tax policy affects everyone, not just a few.",female,Independent,conservative,White,35-44,high school,100k+,married,somewhat religious,1,general,2,-0.8834,0.6807,food_&_dining,0.852,0.0014
post_00037,user_00019,Unpopular opinion: gun safety deserves way more attention.,female,Democrat,conservative,White,25-34,college,25k-50k,married,religious,0,general,2,-0.1077,0.9248,diaries_&_daily_life,0.3075,0.0953
post_00055,user_00028,New report on minimum wage just dropped. The findings are surprising.,male,Independent,moderate,White,25-34,high school,75k-100k,single,not religious,0,general,2,-0.238,0.0991,other,0.5985,0.0234
post_00062,user_00031,Reading about housing affordability this morning — highly recommend.,male,Democrat,very liberal,White,65+,college,100k+,single,not religious,0,general,2,0.3368,0.1462,other,0.0841,0.2135
post_00097,user_00049,Just saw the news about election integrity. Interesting times ahead.,male,Republican,liberal,Asian,25-34,postgraduate,<25k,single,very religious,0,general,2,0.9512,0.2297,travel_&_adventure,0.7999,0.1684
post_00193,user_00097,Why does no one talk about social media enough? It really matters.,female,Republican,liberal,White,65+,college,25k-50k,married,somewhat religious,1,general,2,-0.6661,0.2494,sports,0.3986,0.181
post_00150,user_00075,Today I'm thinking about mental health and what it means for all of us.,female,Independent,liberal,White,65+,postgraduate,25k-50k,divorced,somewhat religious,0,general,2,-0.397,0.8436,travel_&_adventure,0.0073,0.009
post_00115,user_00058,What's everyone's take on media bias? I'm genuinely curious.,female,Independent,conservative,White,35-44,high school,100k+,married,somewhat religious,1,general,2,0.2606,0.9027,fitness_&_health,0.278,0.1039
post_00126,user_00063,What's everyone's take on labor rights? I'm genuinely curious.,male,Republican,conservative,White,18-24,college,25k-50k,married,very religious,0,general,2,-0.3753,0.5308,news_&_social_concern,0.9903,0.0004
post_00129,user_00065,Unpopular opinion: social media deserves way more attention.,female,Republican,liberal,White,25-34,college,25k-50k,married,very religious,0,general,2,0.1375,0.1053,news_&_social_concern,0.4902,0.2791
post_00033,user_00017,Long thread incoming on healthcare costs — stay tuned.,female,Republican,conservative,White,18-24,postgraduate,50k-75k,single,somewhat religious,0,general,2,-0.2764,0.9796,diaries_&_daily_life,0.703,0.0057
post_00075,user_00038,Reading about foreign policy this morning — highly recommend.,female,Independent,liberal,Hispanic,55-64,college,100k+,married,somewhat religious,0,general,2,-0.7438,0.1218,politics,0.4941,0.1315
post_00131,user_00066,"Reminder that student debt affects everyone, not just a few.",male,Republican,liberal,White,65+,college,50k-75k,married,somewhat religious,0,general,2,-0.8247,0.802,news_&_social_concern,0.6338,0.0496
post_00130,user_00065,"Reminder that housing affordability affects everyone, not just a few.",female,Republican,liberal,White,25-34,college,25k-50k,married,very religious,1,general,2,-0.764,0.7795,arts_&_culture,0.9818,0.2176
post_00185,user_00093,Quick update on media bias: things are moving fast.,male,Republican,moderate,Black,18-24,postgraduate,50k-75k,married,not religious,0,general,2,0.2633,0.3976,other,0.8272,0.2866
post_00112,user_00056,New report on gun safety just dropped. The findings are surprising.,male,Independent,moderate,White,65+,high school,100k+,married,religious,0,general,2,0.9238,0.6425,fitness_&_health,0.6204,0.2124
post_00011,user_00006,Excited to share my thoughts on housing affordability with everyone.,female,Democrat,moderate,White,25-34,high school,75k-100k,divorced,not religious,0,general,2,0.6553,0.9276,fitness_&_health,0.0147,0.1959
post_00093,user_00047,Reading about healthcare costs this morning — highly recommend.,female,Other,liberal,White,55-64,high school,<25k,divorced,not religious,0,general,2,0.8172,0.779,news_&_social_concern,0.4775,0.2216
post_00120,user_00060,New report on renewable energy just dropped. The findings are surprising.,female,Democrat,moderate,White,35-44,postgraduate,50k-75k,married,not religious,0,general,2,-0.225,0.6031,sports,0.3926,0.0999
post_00067,user_00034,Long thread incoming on healthcare costs — stay tuned.,female,Democrat,conservative,Hispanic,18-24,college,50k-75k,divorced,religious,1,general,2,0.5568,0.2864,fitness_&_health,0.1197,0.0309
post_00036,user_00018,Can we talk about election integrity? There's so much to unpack here.,female,Independent,conservative,Hispanic,65+,postgraduate,75k-100k,divorced,somewhat religious,0,general,2,0.3994,0.1346,news_&_social_concern,0.7614,0.0951
post_00199,user_00100,Can we talk about labor rights? There's so much to unpack here.,female,Democrat,moderate,Other,35-44,college,75k-100k,divorced,not religious,0,general,2,-0.4683,0.5361,science_&_technology,0.9033,0.267
post_00080,user_00040,Today I'm thinking about housing affordability and what it means for all of us.,male,Independent,conservative,Hispanic,35-44,high school,75k-100k,divorced,very religious,0,general,2,0.9384,0.5142,learning_&_educational,0.7207,0.1781
post_00056,user_00028,The housing affordability situation has been on my mind a lot lately.,male,Independent,moderate,White,25-34,high school,75k-100k,single,not religious,0,general,2,0.1072,0.1655,food_&_dining,0.6702,0.0028
post_00085,user_00043,Reading about education funding this morning — highly recommend.,male,Democrat,moderate,White,18-24,college,<25k,married,religious,0,general,2,0.5575,0.8576,celebrity_&_pop_culture,0.9632,0.0378
post_00179,user_00090,Why does no one talk about tech regulation enough? It really matters.,female,Democrat,conservative,Black,55-64,high school,100k+,divorced,somewhat religious,0,general,2,0.4338,0.4628,food_&_dining,0.782,0.0431
post_00032,user_00016,The tax policy situation has been on my mind a lot lately.,male,Democrat,moderate,White,25-34,college,50k-75k,married,religious,1,general,2,-0.1013,0.3851,celebrity_&_pop_culture,0.8668,0.2079
post_00025,user_00013,"Reminder that tax policy affects everyone, not just a few.",female,Independent,liberal,White,55-64,college,25k-50k,married,religious,0,general,2,0.4005,0.2326,learning_&_educational,0.8391,0.2588
post_00168,user_00084,Can we talk about election integrity? There's so much to unpack here.,female,Independent,conservative,White,25-34,high school,50k-75k,single,very religious,1,general,2,0.6654,0.7968,fitness_&_health,0.556,0.0336
post_00156,user_00078,Long thread incoming on election integrity — stay tuned.,female,Democrat,conservative,Hispanic,18-24,high school,100k+,single,religious,0,general,2,-0.1872,0.1815,gaming,0.5314,0.2756
post_00117,user_00059,Hot take: student debt is more complicated than people think.,male,Republican,liberal,White,65+,college,100k+,single,religious,0,general,2,0.5738,0.4539,other,0.1809,0.0727
post_00099,user_00050,Unpopular opinion: climate policy deserves way more attention.,male,Democrat,moderate,White,35-44,postgraduate,<25k,single,somewhat religious,0,general,2,-0.2591,0.596,sports,0.6409,0.1154
post_00164,user_00082,Today I'm thinking about media bias and what it means for all of us.,male,Republican,conservative,White,25-34,college,75k-100k,single,somewhat religious,0,general,2,0.7172,0.5007,diaries_&_daily_life,0.9211,0.0466
