post_id,user_id,text,author_gender,author_partisanship,author_ideology,author_race,author_age,author_education,author_income,author_marital_status,author_religiosity,created_at,user_followers_count,user_friends_count,user_statuses_count,user_favourites_count,favorite_count,retweet_count,retweeted
post_00043,user_00022,Renewable energy is the future.,non-binary,Democrat,conservative,Hispanic,65+,college,25k-50k,married,somewhat religious,2023-03-03,20602,254,510,77069,271,20,True
post_00044,user_00022,Really interesting take on tax reform.,non-binary,Democrat,conservative,Hispanic,65+,college,25k-50k,married,somewhat religious,2023-03-07,20602,254,510,77069,95,8,True
post_00045,user_00023,Media bias is real and it matters.,male,Independent,very liberal,Other,55-64,high school,50k-75k,married,somewhat religious,2023-02-01,15464,1673,1082,75168,304,5,True
post_00046,user_00023,Media bias is real and it matters.,male,Independent,very liberal,Other,55-64,high school,50k-75k,married,somewhat religious,2023-02-23,15464,1673,1082,75168,289,66,False
post_00047,user_00024,Gun safety is a critical issue right now.,male,Democrat,liberal,Hispanic,25-34,high school,100k+,single,not religious,2023-01-31,17139,856,5586,41680,202,16,False
post_00048,user_00024,The housing market is wild lately.,male,Democrat,liberal,Hispanic,25-34,high school,100k+,single,not religious,2023-02-28,17139,856,5586,41680,384,9,True
post_00049,user_00025,Renewable energy is the future.,male,Independent,conservative,Asian,55-64,postgraduate,75k-100k,divorced,religious,2023-01-10,30084,2564,4712,13604,109,64,False
post_00050,user_00025,The housing market is wild lately.,male,Independent,conservative,Asian,55-64,postgraduate,75k-100k,divorced,religious,2023-01-17,30084,2564,4712,13604,35,31,False
post_00051,user_00026,Media bias is real and it matters.,non-binary,Republican,liberal,Asian,18-24,college,75k-100k,divorced,religious,2023-02-08,18726,666,3689,71700,334,67,True
post_00052,user_00026,Renewable energy is the future.,non-binary,Republican,liberal,Asian,18-24,college,75k-100k,divorced,religious,2023-03-27,18726,666,3689,71700,153,13,True
post_00053,user_00027,Healthcare costs are still rising — we need to talk.,female,Independent,very liberal,Hispanic,55-64,high school,50k-75k,married,very religious,2023-03-12,17382,492,7388,14529,139,36,True
post_00054,user_00027,Education funding deserves more attention.,female,Independent,very liberal,Hispanic,55-64,high school,50k-75k,married,very religious,2023-02-13,17382,492,7388,14529,351,33,False
post_00055,user_00028,Thoughts on climate policy today.,male,Democrat,moderate,Hispanic,18-24,postgraduate,<25k,divorced,very religious,2023-02-05,16507,228,856,56018,1,42,True
post_00056,user_00028,Gun safety is a critical issue right now.,male,Democrat,moderate,Hispanic,18-24,postgraduate,<25k,divorced,very religious,2023-03-23,16507,228,856,56018,82,56,False
post_00057,user_00029,Healthcare costs are still rising — we need to talk.,female,Independent,very conservative,White,45-54,postgraduate,25k-50k,married,very religious,2023-03-30,36809,59,1016,10362,279,4,False
post_00058,user_00029,Renewable energy is the future.,female,Independent,very conservative,White,45-54,postgraduate,25k-50k,married,very religious,2023-03-16,36809,59,1016,10362,75,55,True
post_00059,user_00030,Education funding deserves more attention.,non-binary,Democrat,very liberal,Asian,18-24,college,<25k,divorced,somewhat religious,2023-02-15,2791,1282,3087,5729,349,31,True
post_00060,user_00030,Renewable energy is the future.,non-binary,Democrat,very liberal,Asian,18-24,college,<25k,divorced,somewhat religious,2023-02-15,2791,1282,3087,5729,208,79,True
post_00061,user_00031,Thoughts on climate policy today.,male,Democrat,conservative,Asian,55-64,postgraduate,100k+,single,religious,2023-02-22,15564,685,6652,23706,91,42,False
post_00062,user_00031,Education funding deserves more attention.,male,Democrat,conservative,Asian,55-64,postgraduate,100k+,single,religious,2023-03-27,15564,685,6652,23706,136,20,True
post_00063,user_00032,Education funding deserves more attention.,female,Republican,conservative,Asian,35-44,postgraduate,100k+,single,religious,2023-01-29,25120,178,7133,62194,235,44,False
post_00064,user_00032,Education funding deserves more attention.,female,Republican,conservative,Asian,35-44,postgraduate,100k+,single,religious,2023-01-30,25120,178,7133,62194,12,24,False
post_00065,user_00033,The housing market is wild lately.,male,Republican,very liberal,Other,65+,college,50k-75k,married,somewhat religious,2023-02-05,21562,1161,7180,9599,328,65,False
post_00066,user_00033,Renewable energy is the future.,male,Republican,very liberal,Other,65+,college,50k-75k,married,somewhat religious,2023-03-28,21562,1161,7180,9599,169,3,True
post_00067,user_00034,Really interesting take on tax reform.,female,Democrat,very conservative,Black,35-44,college,75k-100k,single,not religious,2023-01-05,17168,751,4856,35295,305,55,False
post_00068,user_00034,Immigration policy needs nuance.,female,Democrat,very conservative,Black,35-44,college,75k-100k,single,not religious,2023-02-10,17168,751,4856,35295,310,65,True
post_00069,user_00035,Immigration policy needs nuance.,female,Independent,conservative,Hispanic,25-34,postgraduate,100k+,single,very religious,2023-01-06,25294,2381,1657,33886,0,66,True
post_00070,user_00035,Immigration policy needs nuance.,female,Independent,conservative,Hispanic,25-34,postgraduate,100k+,single,very religious,2023-02-16,25294,2381,1657,33886,35,42,False
post_00071,user_00036,Gun safety is a critical issue right now.,non-binary,Republican,very liberal,Hispanic,35-44,high school,25k-50k,married,very religious,2023-03-06,8217,2968,7473,39863,341,52,False
post_00072,user_00036,Gun safety is a critical issue right now.,non-binary,Republican,very liberal,Hispanic,35-44,high school,25k-50k,married,very religious,2023-02-21,8217,2968,7473,39863,283,16,True
post_00073,user_00037,Healthcare costs are still rising — we need to talk.,male,Democrat,liberal,Black,18-24,college,<25k,divorced,not religious,2023-03-28,27604,2743,7803,50195,315,72,False
post_00074,user_00037,Renewable energy is the future.,male,Democrat,liberal,Black,18-24,college,<25k,divorced,not religious,2023-02-21,27604,2743,7803,50195,0,38,False
post_00075,user_00038,The housing market is wild lately.,non-binary,Republican,very conservative,Black,55-64,college,25k-50k,single,somewhat religious,2023-03-19,13824,1780,6536,76519,238,56,False
post_00076,user_00038,Education funding deserves more attention.,non-binary,Republican,very conservative,Black,55-64,college,25k-50k,single,somewhat religious,2023-03-28,13824,1780,6536,76519,261,60,True
post_00077,user_00039,Education funding deserves more attention.,non-binary,Independent,liberal,Asian,18-24,college,50k-75k,divorced,somewhat religious,2023-01-12,5607,1182,4322,44433,344,39,True
post_00078,user_00039,Healthcare costs are still rising — we need to talk.,non-binary,Independent,liberal,Asian,18-24,college,50k-75k,divorced,somewhat religious,2023-01-26,5607,1182,4322,44433,12,5,True
post_00079,user_00040,Immigration policy needs nuance.,female,Independent,moderate,Asian,25-34,postgraduate,25k-50k,married,very religious,2023-02-28,31188,2523,7061,10045,322,73,True
post_00080,user_00040,Immigration policy needs nuance.,female,Independent,moderate,Asian,25-34,postgraduate,25k-50k,married,very religious,2023-03-31,31188,2523,7061,10045,253,51,True
post_00081,user_00041,Immigration policy needs nuance.,male,Republican,very conservative,Asian,45-54,college,75k-100k,divorced,very religious,2023-01-14,9721,2707,5733,1226,112,22,False
post_00082,user_00041,Renewable energy is the future.,male,Republican,very conservative,Asian,45-54,college,75k-100k,divorced,very religious,2023-01-07,9721,2707,5733,1226,127,15,False
post_00083,user_00042,Media bias is real and it matters.,male,Democrat,very conservative,Black,35-44,high school,75k-100k,married,not religious,2023-03-13,8788,1923,5568,70116,162,56,False
post_00084,user_00042,Mental health awareness is more important than ever.,male,Democrat,very conservative,Black,35-44,high school,75k-100k,married,not religious,2023-03-12,8788,1923,5568,70116,81,60,False
post_00085,user_00043,Mental health awareness is more important than ever.,non-binary,Independent,very liberal,Hispanic,18-24,high school,50k-75k,married,somewhat religious,2023-03-08,17036,1032,6980,36847,320,30,False
post_00086,user_00043,Really interesting take on tax reform.,non-binary,Independent,very liberal,Hispanic,18-24,high school,50k-75k,married,somewhat religious,2023-02-26,17036,1032,6980,36847,365,36,True
post_00087,user_00044,Healthcare costs are still rising — we need to talk.,female,Democrat,liberal,Asian,35-44,high school,75k-100k,single,very religious,2023-01-11,17857,1395,2719,71298,77,29,False
post_00088,user_00044,Healthcare costs are still rising — we need to talk.,female,Democrat,liberal,Asian,35-44,high school,75k-100k,single,very religious,2023-03-30,17857,1395,2719,71298,361,27,True
post_00089,user_00045,Immigration policy needs nuance.,non-binary,Republican,liberal,Asian,18-24,college,25k-50k,single,religious,2023-03-01,27238,1689,2810,71621,31,26,False
post_00090,user_00045,Media bias is real and it matters.,non-binary,Republican,liberal,Asian,18-24,college,25k-50k,single,religious,2023-02-19,27238,1689,2810,71621,356,2,False
post_00091,user_00046,Immigration policy needs nuance.,male,Independent,moderate,Black,25-34,high school,50k-75k,married,somewhat religious,2023-02-08,31309,44,7822,46605,214,68,True
post_00092,user_00046,Education funding deserves more attention.,male,Independent,moderate,Black,25-34,high school,50k-75k,married,somewhat religious,2023-03-04,31309,44,7822,46605,139,55,False
post_00093,user_00047,Mental health awareness is more important than ever.,non-binary,Republican,conservative,Other,18-24,high school,<25k,married,somewhat religious,2023-01-22,1952,1612,2853,53494,65,79,True
post_00094,user_00047,Media bias is real and it matters.,non-binary,Republican,conservative,Other,18-24,high school,<25k,married,somewhat religious,2023-02-20,1952,1612,2853,53494,288,3,True
post_00095,user_00048,Thoughts on climate policy today.,male,Independent,very conservative,Other,45-54,high school,50k-75k,single,religious,2023-01-24,28139,575,7201,61015,133,48,False
post_00096,user_00048,Mental health awareness is more important than ever.,male,Independent,very conservative,Other,45-54,high school,50k-75k,single,religious,2023-01-28,28139,575,7201,61015,167,43,False
post_00097,user_00049,Thoughts on climate policy today.,male,Democrat,liberal,Asian,65+,postgraduate,75k-100k,single,not religious,2023-03-02,18285,1746,2166,11235,383,69,True
post_00098,user_00049,Education funding deserves more attention.,male,Democrat,liberal,Asian,65+,postgraduate,75k-100k,single,not religious,2023-02-14,18285,1746,2166,11235,332,8,True
post_00099,user_00050,Healthcare costs are still rising — we need to talk.,female,Independent,very conservative,White,65+,postgraduate,100k+,single,somewhat religious,2023-03-21,2083,1032,1733,3171,122,16,False
post_00100,user_00050,Really interesting take on tax reform.,female,Independent,very conservative,White,65+,postgraduate,100k+,single,somewhat religious,2023-03-27,2083,1032,1733,3171,288,27,False
post_00101,user_00051,Really interesting take on tax reform.,female,Republican,very liberal,Other,35-44,high school,100k+,married,somewhat religious,2023-03-19,16843,1530,1474,79915,398,20,False
post_00102,user_00051,Media bias is real and it matters.,female,Republican,very liberal,Other,35-44,high school,100k+,married,somewhat religious,2023-01-14,16843,1530,1474,79915,13,39,False
post_00103,user_00052,Education funding deserves more attention.,non-binary,Independent,very liberal,Other,35-44,high school,100k+,divorced,not religious,2023-03-17,26045,2948,1724,10461,52,38,True
post_00104,user_00052,Thoughts on climate policy today.,non-binary,Independent,very liberal,Other,35-44,high school,100k+,divorced,not religious,2023-03-14,26045,2948,1724,10461,177,68,False
post_00105,user_00053,Immigration policy needs nuance.,female,Republican,very liberal,Asian,35-44,college,<25k,married,not religious,2023-01-02,24335,302,4244,45225,250,13,False
post_00106,user_00053,Mental health awareness is more important than ever.,female,Republican,very liberal,Asian,35-44,college,<25k,married,not religious,2023-02-16,24335,302,4244,45225,362,19,False
post_00107,user_00054,Renewable energy is the future.,female,Democrat,very liberal,Other,65+,college,25k-50k,single,religious,2023-03-20,11593,2157,5428,35900,396,61,False
post_00108,user_00054,Media bias is real and it matters.,female,Democrat,very liberal,Other,65+,college,25k-50k,single,religious,2023-02-25,11593,2157,5428,35900,137,41,True
post_00109,user_00055,Mental health awareness is more important than ever.,non-binary,Republican,liberal,Asian,65+,college,25k-50k,single,not religious,2023-02-01,5729,1162,7322,59587,291,78,False
post_00110,user_00055,Thoughts on climate policy today.,non-binary,Republican,liberal,Asian,65+,college,25k-50k,single,not religious,2023-02-13,5729,1162,7322,59587,253,41,True
post_00111,user_00056,Gun safety is a critical issue right now.,non-binary,Republican,very liberal,Hispanic,25-34,high school,25k-50k,single,religious,2023-02-13,32002,888,3006,34362,305,35,True
post_00112,user_00056,Education funding deserves more attention.,non-binary,Republican,very liberal,Hispanic,25-34,high school,25k-50k,single,religious,2023-03-08,32002,888,3006,34362,43,30,False
post_00113,user_00057,Mental health awareness is more important than ever.,female,Independent,conservative,Other,45-54,college,<25k,divorced,somewhat religious,2023-03-30,32069,2294,6310,31999,330,62,False
post_00114,user_00057,Really interesting take on tax reform.,female,Independent,conservative,Other,45-54,college,<25k,divorced,somewhat religious,2023-01-03,32069,2294,6310,31999,150,28,False
post_00115,user_00058,Mental health awareness is more important than ever.,female,Republican,very liberal,Hispanic,35-44,high school,50k-75k,married,very religious,2023-02-17,15995,1274,5539,76725,283,67,False
post_00116,user_00058,Renewable energy is the future.,female,Republican,very liberal,Hispanic,35-44,high school,50k-75k,married,very religious,2023-02-24,15995,1274,5539,76725,169,45,False
post_00117,user_00059,Education funding deserves more attention.,non-binary,Republican,conservative,Hispanic,25-34,college,75k-100k,married,religious,2023-01-16,17804,1275,2159,30717,161,15,True
post_00118,user_00059,Education funding deserves more attention.,non-binary,Republican,conservative,Hispanic,25-34,college,75k-100k,married,religious,2023-01-25,17804,1275,2159,30717,378,61,False
post_00119,user_00060,Education funding deserves more attention.,male,Independent,conservative,White,45-54,postgraduate,25k-50k,divorced,religious,2023-01-13,38689,2168,4988,37593,151,29,False
post_00120,user_00060,Gun safety is a critical issue right now.,male,Independent,conservative,White,45-54,postgraduate,25k-50k,divorced,religious,2023-01-23,38689,2168,4988,37593,7,68,True
post_00121,user_00061,Healthcare costs are still rising — we need to talk.,female,Democrat,very liberal,Hispanic,65+,college,50k-75k,married,very religious,2023-02-07,18027,206,546,73029,326,62,True
post_00122,user_00061,Media bias is real and it matters.,female,Democrat,very liberal,Hispanic,65+,college,50k-75k,married,very religious,2023-01-02,18027,206,546,73029,145,60,False
post_00123,user_00062,Mental health awareness is more important than ever.,male,Independent,conservative,Hispanic,45-54,high school,50k-75k,divorced,very religious,2023-02-02,28916,1415,1610,7234,58,8,False
post_00124,user_00062,Really interesting take on tax reform.,male,Independent,conservative,Hispanic,45-54,high school,50k-75k,divorced,very religious,2023-03-04,28916,1415,1610,7234,295,80,True
post_00125,user_00063,Really interesting take on tax reform.,female,Independent,very liberal,White,65+,postgraduate,75k-100k,married,somewhat religious,2023-02-08,9993,631,6744,74272,127,15,False
post_00126,user_00063,Media bias is real and it matters.,female,Independent,very liberal,White,65+,postgraduate,75k-100k,married,somewhat religious,2023-03-19,9993,631,6744,74272,316,28,False
post_00127,user_00064,Gun safety is a critical issue right now.,male,Democrat,very conservative,Asian,18-24,high school,<25k,single,religious,2023-02-24,29574,1833,2535,77639,291,79,True
post_00128,user_00064,Really interesting take on tax reform.,male,Democrat,very conservative,Asian,18-24,high school,<25k,single,religious,2023-03-20,29574,1833,2535,77639,390,26,True
post_00129,user_00065,Healthcare costs are still rising — we need to talk.,female,Republican,very conservative,White,55-64,high school,75k-100k,married,religious,2023-01-31,17393,2725,765,21085,282,9,True
post_00130,user_00065,Immigration policy needs nuance.,female,Republican,very conservative,White,55-64,high school,75k-100k,married,religious,2023-01-01,17393,2725,765,21085,230,76,False
post_00131,user_00066,Mental health awareness is more important than ever.,female,Democrat,very conservative,Black,55-64,college,75k-100k,married,religious,2023-02-06,19137,153,1996,38262,36,29,False
post_00132,user_00066,Media bias is real and it matters.,female,Democrat,very conservative,Black,55-64,college,75k-100k,married,religious,2023-03-22,19137,153,1996,38262,338,25,False
post_00133,user_00067,Healthcare costs are still rising — we need to talk.,male,Democrat,very liberal,Black,45-54,postgraduate,75k-100k,divorced,not religious,2023-02-04,7571,2250,1941,20028,36,7,True
post_00134,user_00067,Media bias is real and it matters.,male,Democrat,very liberal,Black,45-54,postgraduate,75k-100k,divorced,not religious,2023-02-09,7571,2250,1941,20028,383,72,False
post_00135,user_00068,Immigration policy needs nuance.,female,Republican,conservative,Black,55-64,college,75k-100k,single,not religious,2023-03-31,28830,529,3939,40357,139,64,False
post_00136,user_00068,Really interesting take on tax reform.,female,Republican,conservative,Black,55-64,college,75k-100k,single,not religious,2023-02-26,28830,529,3939,40357,306,5,False
post_00137,user_00069,Education funding deserves more attention.,male,Democrat,conservative,Black,65+,college,<25k,divorced,religious,2023-01-12,21173,2492,2151,3890,345,73,True
post_00138,user_00069,Gun safety is a critical issue right now.,male,Democrat,conservative,Black,65+,college,<25k,divorced,religious,2023-03-28,21173,2492,2151,3890,295,5,True
post_00139,user_00070,Healthcare costs are still rising — we need to talk.,non-binary,Republican,very liberal,Other,55-64,college,50k-75k,single,somewhat religious,2023-02-05,30884,2145,5437,58463,299,55,False
post_00140,user_00070,Mental health awareness is more important than ever.,non-binary,Republican,very liberal,Other,55-64,college,50k-75k,single,somewhat religious,2023-01-12,30884,2145,5437,58463,178,52,False
post_00141,user_00071,Immigration policy needs nuance.,female,Independent,liberal,White,25-34,high school,25k-50k,married,not religious,2023-02-12,21090,2764,956,21579,355,63,False
post_00142,user_00071,Immigration policy needs nuance.,female,Independent,liberal,White,25-34,high school,25k-50k,married,not religious,2023-03-26,21090,2764,956,21579,389,70,True
post_00143,user_00072,Really interesting take on tax reform.,female,Independent,very conservative,Hispanic,45-54,postgraduate,25k-50k,divorced,not religious,2023-02-11,29857,380,2676,33582,395,51,True
post_00144,user_00072,Renewable energy is the future.,female,Independent,very conservative,Hispanic,45-54,postgraduate,25k-50k,divorced,not religious,2023-03-26,29857,380,2676,33582,236,52,True
post_00145,user_00073,Mental health awareness is more important than ever.,male,Republican,conservative,Asian,55-64,college,75k-100k,divorced,not religious,2023-03-22,12343,2143,3063,65838,389,6,True
post_00146,user_00073,Renewable energy is the future.,male,Republican,conservative,Asian,55-64,college,75k-100k,divorced,not religious,2023-02-04,12343,2143,3063,65838,67,36,False
post_00147,user_00074,Gun safety is a critical issue right now.,male,Republican,very liberal,Asian,45-54,postgraduate,100k+,married,somewhat religious,2023-01-21,31816,517,336,31865,282,1,False
post_00148,user_00074,Education funding deserves more attention.,male,Republican,very liberal,Asian,45-54,postgraduate,100k+,married,somewhat religious,2023-01-12,31816,517,336,31865,58,59,True
post_00149,user_00075,Gun safety is a critical issue right now.,non-binary,Independent,very conservative,Black,25-34,college,100k+,single,not religious,2023-03-07,10140,2061,7740,38754,212,61,False
post_00150,user_00075,Mental health awareness is more important than ever.,non-binary,Independent,very conservative,Black,25-34,college,100k+,single,not religious,2023-02-01,10140,2061,7740,38754,282,18,False
post_00151,user_00076,Gun safety is a critical issue right now.,non-binary,Democrat,moderate,Black,25-34,college,25k-50k,married,religious,2023-01-09,12541,2475,4263,18392,395,53,False
post_00152,user_00076,Gun safety is a critical issue right now.,non-binary,Democrat,moderate,Black,25-34,college,25k-50k,married,religious,2023-03-06,12541,2475,4263,18392,1,36,False
post_00153,user_00077,Mental health awareness is more important than ever.,male,Republican,liberal,Other,35-44,high school,50k-75k,divorced,not religious,2023-01-20,38515,2395,5506,64678,275,61,False
post_00154,user_00077,Renewable energy is the future.,male,Republican,liberal,Other,35-44,high school,50k-75k,divorced,not religious,2023-02-12,38515,2395,5506,64678,390,69,False
post_00155,user_00078,Education funding deserves more attention.,non-binary,Independent,liberal,Other,55-64,high school,25k-50k,divorced,religious,2023-03-31,29891,1338,7223,25227,292,49,True
post_00156,user_00078,Thoughts on climate policy today.,non-binary,Independent,liberal,Other,55-64,high school,25k-50k,divorced,religious,2023-02-22,29891,1338,7223,25227,162,60,False
post_00157,user_00079,Thoughts on climate policy today.,non-binary,Democrat,very liberal,White,18-24,postgraduate,100k+,married,somewhat religious,2023-03-05,25352,2738,6591,20436,64,64,False
post_00158,user_00079,Mental health awareness is more important than ever.,non-binary,Democrat,very liberal,White,18-24,postgraduate,100k+,married,somewhat religious,2023-01-13,25352,2738,6591,20436,51,67,False
post_00159,user_00080,Healthcare costs are still rising — we need to talk.,non-binary,Republican,very conservative,White,45-54,postgraduate,100k+,married,religious,2023-03-25,1055,2979,1280,54236,38,60,False
post_00160,user_00080,Media bias is real and it matters.,non-binary,Republican,very conservative,White,45-54,postgraduate,100k+,married,religious,2023-02-13,1055,2979,1280,54236,354,50,True
post_00161,user_00081,The housing market is wild lately.,female,Democrat,conservative,Hispanic,45-54,high school,<25k,single,very religious,2023-02-18,21582,2782,7139,70442,320,62,True
post_00162,user_00081,Really interesting take on tax reform.,female,Democrat,conservative,Hispanic,45-54,high school,<25k,single,very religious,2023-03-21,21582,2782,7139,70442,120,80,False
post_00163,user_00082,Really interesting take on tax reform.,female,Republican,conservative,Black,35-44,postgraduate,25k-50k,married,religious,2023-03-23,14958,390,3655,13403,227,21,False
post_00164,user_00082,Thoughts on climate policy today.,female,Republican,conservative,Black,35-44,postgraduate,25k-50k,married,religious,2023-01-04,14958,390,3655,13403,166,7,False
post_00165,user_00083,Renewable energy is the future.,non-binary,Republican,conservative,Black,35-44,postgraduate,100k+,single,religious,2023-02-01,23542,1555,3628,19580,210,72,True
